aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,지역코드,계약일,평단가_만원
,경희궁자이(2단지),11110-2445,0199,0000,2017,개인,25.07.17,O,250000,5,7,2025,중개거래,서울 종로구,84.9071,11,199,1,N,,송월길,00099,00000,4100192,01,11110,,11110,개인,17900,홍파동,11110,2025-07-05,9734.0
116,인왕산아이파크,11110-2212,0060,0000,2008,개인,,,119000,1,7,2025,중개거래,"서울 서초구, 서울 종로구",59.993,4,60,1,N,25.10.13,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동,11110,2025-07-01,6557.0
101,종로센트레빌,11110-2224,0002,0001,2008,개인,,,88500,4,7,2025,중개거래,서울 종로구,59.92,6,2-1,1,N,25.09.26,동망산길,00047,00000,4100065,02,11110,0,11110,개인,17500,숭인동,11110,2025-07-04,4883.0
103동,경희궁롯데캐슬,11110-2519,0089,0000,2019,개인,,,175000,5,7,2025,중개거래,서울 종로구,84.8792,13,89,1,N,25.08.05,통일로,00230,00000,3000008,00,11110,0,11110,개인,18700,무악동,11110,2025-07-05,6816.0
208,경희궁자이(2단지),11110-2445,0199,0000,2017,개인,,,246000,2,7,2025,중개거래,서울 종로구,77.9737,16,199,1,N,25.09.10,송월길,00099,00000,4100192,01,11110,,11110,개인,17900,홍파동,11110,2025-07-02,10430.0
,삼성,11110-73,0596,0000,1998,개인,25.07.31,O,69500,3,7,2025,중개거래,서울 종로구,59.97,3,596,1,N,,평창문화로,00172,00000,3100023,00,11110,,11110,개인,18300,평창동,11110,2025-07-03,3831.0
,숭인상가,11110-48,0204,0011,1979,개인,,,63000,22,8,2025,중개거래,서울 중구,80.85,5,204-11,1,N,26.04.27,청계천로,00391,00000,3100021,08,11110,0,11110,개인,17500,숭인동,11110,2025-08-22,2576.0
111,인왕산아이파크,11110-2212,0060,0000,2008,개인,,,130000,12,8,2025,중개거래,서울 서대문구,84.858,6,60,1,N,25.11.07,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동,11110,2025-08-12,5064.0
,종로아인스빌,11110-2344,1392,0001,2013,개인,,,13100,22,8,2025,직거래,,12.15,11,1392-1,1,N,,난계로29가길,00019,00000,4100029,01,11110,0,11110,기타,17500,숭인동,11110,2025-08-22,3564.0
105,인왕산아이파크,11110-2212,0060,0000,2008,개인,,,155000,28,8,2025,중개거래,서울 종로구,114.931,5,60,1,N,25.11.12,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동,11110,2025-08-28,4458.0
